id_ibge,nc,votos,prop
1200500,SOFIA MANZANO,3,0.013770311209033326
1200500,EYMAEL,2,0.009180207472688884
1200500,LÉO PÉRICLES,1,0.004590103736344442
1200500,VERA,1,0.004590103736344442
1200344,JAIR BOLSONARO,3141,56.75822190097579
1200344,LULA,2095,37.856884712685215
1200344,SIMONE TEBET,126,2.2768341163715218
1200344,CIRO GOMES,114,2.059992771955186
1200344,SORAYA THRONICKE,47,0.849295265630647
1200344,SOFIA MANZANO,5,0.09035056017347307
1200344,FELIPE D'AVILA,3,0.054210336104083844
1200344,PADRE KELMON,2,0.03614022406938923
1200344,EYMAEL,1,0.018070112034694615
1200344,VERA,0,0.0
1200344,LÉO PÉRICLES,0,0.0
1200336,JAIR BOLSONARO,6469,63.14916048418586
1200336,LULA,3236,31.58922295978134
1200336,SIMONE TEBET,331,3.231159703240922
1200336,CIRO GOMES,155,1.51308082780164
1200336,SORAYA THRONICKE,32,0.31237797735259665
1200336,FELIPE D'AVILA,8,0.07809449433814916
1200336,PADRE KELMON,6,0.058570870753611864
1200336,SOFIA MANZANO,4,0.03904724716907458
1200336,LÉO PÉRICLES,1,0.009761811792268645
1200336,EYMAEL,1,0.009761811792268645
1200336,VERA,1,0.009761811792268645
1200328,LULA,2213,55.07715281234445
1200328,JAIR BOLSONARO,1515,37.70532603285216
1200328,SIMONE TEBET,157,3.9074166251866598
1200328,CIRO GOMES,120,2.9865604778496766
1200328,SORAYA THRONICKE,6,0.14932802389248384
1200328,PADRE KELMON,2,0.049776007964161276
1200328,SOFIA MANZANO,2,0.049776007964161276
1200328,FELIPE D'AVILA,2,0.049776007964161276
1200328,VERA,1,0.024888003982080638
1200328,LÉO PÉRICLES,0,0.0
1200328,EYMAEL,0,0.0
1200013,JAIR BOLSONARO,5238,73.58808654116325
1200013,LULA,1516,21.298117448721552
1200013,SIMONE TEBET,192,2.697386906434392
1200013,CIRO GOMES,117,1.6437201461084576
1200013,SORAYA THRONICKE,37,0.5198089350941275
1200013,FELIPE D'AVILA,11,0.15453779151447036
1200013,PADRE KELMON,6,0.08429334082607474
1200013,VERA,1,0.014048890137679125
1200013,EYMAEL,0,0.0
1200013,SOFIA MANZANO,0,0.0
1200013,LÉO PÉRICLES,0,0.0
1200385,JAIR BOLSONARO,6209,66.12353567625134
1200385,LULA,2442,26.00638977635783
1200385,SIMONE TEBET,489,5.207667731629393
1200385,CIRO GOMES,189,2.0127795527156547
1200385,SORAYA THRONICKE,43,0.4579339723109691
1200385,FELIPE D'AVILA,11,0.11714589989350374
1200385,PADRE KELMON,6,0.06389776357827476
1200385,SOFIA MANZANO,1,0.010649627263045794
1200385,VERA,0,0.0
1200385,LÉO PÉRICLES,0,0.0
1200385,EYMAEL,0,0.0
1200450,JAIR BOLSONARO,9134,66.40494365685205
1200450,LULA,3523,25.612504543802256
1200450,SIMONE TEBET,654,4.7546346782988005
1200450,CIRO GOMES,349,2.5372591784805527
1200450,SORAYA THRONICKE,75,0.5452562704471101
1200450,FELIPE D'AVILA,14,0.10178117048346055
1200450,PADRE KELMON,3,0.021810250817884406
1200450,SOFIA MANZANO,2,0.014540167211922935
1200450,EYMAEL,1,0.007270083605961468
1200450,VERA,0,0.0
1200450,LÉO PÉRICLES,0,0.0
1200054,JAIR BOLSONARO,2694,55.306918497228494
1200054,LULA,2003,41.12091972900841
1200054,SIMONE TEBET,109,2.2377335249435437
1200054,CIRO GOMES,44,0.9033052761239991
1200054,SORAYA THRONICKE,11,0.22582631903099978
1200054,VERA,5,0.10264832683227264
1200054,PADRE KELMON,2,0.04105933073290905
1200054,FELIPE D'AVILA,2,0.04105933073290905
1200054,SOFIA MANZANO,1,0.020529665366454525
1200054,EYMAEL,0,0.0
1200054,LÉO PÉRICLES,0,0.0
1200179,JAIR BOLSONARO,3944,65.61304275494926
1200179,LULA,1630,27.116952254200633
1200179,SIMONE TEBET,264,4.391948095158876
1200179,CIRO GOMES,120,1.9963400432540344
1200179,SORAYA THRONICKE,46,0.7652636832473798
1200179,FELIPE D'AVILA,6,0.0998170021627017
1200179,SOFIA MANZANO,1,0.01663616702711695
1200179,EYMAEL,0,0.0
1200179,VERA,0,0.0
